%time,control_mode
1736135784434708138,0
1736135784484735293,0
1736135784534677894,0
1736135784584709947,0
1736135784634712853,0
1736135784684818980,0
1736135784734660497,0
1736135784784708522,0
1736135784834711790,0
1736135784884691332,0
1736135784934698558,0
1736135784984766429,0
1736135785034699290,0
1736135785084718042,0
1736135785134737756,0
1736135785184732712,0
1736135785234696879,0
1736135785284716052,0
1736135785334698124,0
1736135785384624678,0
1736135785434708024,0
1736135785484729852,0
1736135785534653712,0
1736135785584701720,0
1736135785634676357,0
1736135785684895604,0
1736135785734695165,0
1736135785784773691,0
1736135785834738251,0
1736135785884683962,0
1736135785934719025,0
1736135785984848209,0
1736135786034738742,0
1736135786084709145,0
1736135786134831571,0
1736135786184720537,0
1736135786234720638,0
1736135786284690119,0
1736135786334666625,0
1736135786384764873,0
1736135786434758221,0
1736135786484704477,0
1736135786534822424,0
1736135786584795623,0
1736135786634798839,0
1736135786684818597,0
1736135786734738844,0
1736135786784796625,0
1736135786834769974,0
1736135786884745828,0
1736135786934739185,0
1736135786984799592,0
1736135787034769742,0
1736135787084759316,0
1736135787134718142,0
1736135787184772199,0
1736135787234757475,0
1736135787284759354,0
1736135787334762755,0
1736135787384760745,0
1736135787434743306,0
1736135787484799067,0
1736135787534825331,0
1736135787584789048,0
1736135787634732012,0
1736135787684828982,0
1736135787734720869,0
1736135787784826966,0
1736135787834775672,0
1736135787884847365,0
1736135787934743991,0
1736135787984836493,0
1736135788034768954,0
1736135788084772769,0
1736135788134789780,0
1736135788184727048,0
1736135788234742216,0
1736135788284745551,0
1736135788334780136,0
1736135788384797829,0
1736135788434760236,0
1736135788484822553,0
1736135788534762446,0
1736135788584822039,0
1736135788634787111,0
1736135788684855270,0
1736135788734712355,0
1736135788784832734,0
1736135788834808427,0
1736135788884935018,0
1736135788934757425,0
1736135788984849059,0
1736135789034783479,0
1736135789084711865,0
1736135789134969282,0
1736135789184774109,0
1736135789234757411,0
1736135789284771872,0
1736135789334748820,0
1736135789387611681,0
1736135789434703539,0
1736135789484916149,0
1736135789534742398,0
1736135789585369524,0
1736135789634708440,0
1736135789684760161,0
1736135789734657307,0
1736135789784726302,0
1736135789834725333,0
1736135789884746126,0
1736135789934775936,0
1736135789984810665,0
1736135790034747835,0
1736135790084729296,0
1736135790134727038,0
1736135790184803352,0
1736135790234630768,0
1736135790284740045,0
1736135790334696008,0
1736135790384684432,0
1736135790434737441,0
1736135790484662154,0
1736135790534717076,0
1736135790584820712,0
1736135790634741006,0
1736135790684719722,0
1736135790734771669,0
1736135790784772277,0
1736135790834709604,0
1736135790884762092,0
1736135790934694630,0
1736135790984766675,0
1736135791034692264,0
1736135791084869515,0
1736135791134738306,0
1736135791184767603,0
1736135791234775490,0
1736135791284687381,0
1736135791334702001,0
1736135791384718123,0
1736135791434636067,0
1736135791484821794,0
1736135791534729339,0
1736135791584802220,0
1736135791634639719,0
1736135791684806802,0
1736135791734694847,0
1736135791784828335,0
1736135791834732171,0
1736135791885150125,0
1736135791934706206,0
1736135791984729481,0
1736135792034788793,0
1736135792085375413,0
1736135792134732295,0
1736135792184721280,0
1736135792234680688,0
1736135792284977722,9
1736135792334650191,9
1736135792385039623,9
1736135792434756085,9
1736135792485068559,9
1736135792534612982,9
1736135792584611554,9
1736135792634741218,9
1736135792684714203,9
1736135792734629716,9
1736135792784774550,9
1736135792834668001,9
1736135792884661033,9
1736135792934691867,9
1736135792984878691,9
1736135793034673090,9
1736135793084650305,9
1736135793134652039,9
1736135793184693408,9
1736135793234690272,9
1736135793284900415,9
1736135793334839097,9
1736135793384952865,9
1736135793434811604,9
1736135793484858674,9
1736135793534812566,9
1736135793584846110,9
1736135793634765265,9
1736135793684875376,9
1736135793734720739,9
1736135793784786265,9
1736135793834786265,9
1736135793884811393,9
1736135793934802986,9
1736135793984796944,9
1736135794034778726,9
1736135794084727863,9
1736135794134779026,9
1736135794184795030,9
1736135794234833708,9
1736135794284829074,9
1736135794334808469,9
1736135794384833079,9
1736135794434765345,9
1736135794484776159,9
1736135794534702121,9
1736135794585165163,9
1736135794634831929,9
1736135794684759654,9
1736135794734730261,9
1736135794784873010,9
1736135794834767221,9
1736135794884795178,9
1736135794934797147,9
1736135794985240471,9
1736135795034824572,9
1736135795084891158,9
1736135795134780787,9
1736135795184842754,9
1736135795234815490,9
1736135795284928515,9
1736135795334765541,9
1736135795384932910,9
1736135795434755829,9
1736135795485307525,9
1736135795534899732,9
1736135795585182913,9
1736135795634805708,9
1736135795684845733,9
1736135795734837977,9
1736135795785634802,9
1736135795834749193,9
1736135795884929397,9
1736135795934802933,9
1736135795984865933,9
1736135796034775806,9
1736135796084836655,9
1736135796134841457,9
1736135796184799389,9
1736135796234808720,9
1736135796284814564,9
1736135796334958673,9
1736135796384875697,9
1736135796434801537,9
1736135796484920828,9
1736135796534835728,9
1736135796584888262,9
1736135796634806538,9
1736135796684827511,9
1736135796734790162,9
1736135796784916276,9
1736135796834793785,9
1736135796885215967,9
1736135796934794202,9
1736135796984842236,9
1736135797034941585,9
1736135797084819288,9
1736135797134815208,9
1736135797184851524,9
1736135797234971602,9
1736135797284920040,9
1736135797334878658,9
1736135797384965762,9
1736135797434720749,9
1736135797484866967,9
1736135797534751743,9
1736135797584869476,9
1736135797634779441,9
1736135797684822129,9
1736135797734767251,9
1736135797784972322,9
1736135797834876215,9
1736135797884829853,9
1736135797934803559,9
1736135797984861377,9
1736135798034854898,9
1736135798084830994,9
1736135798134790187,9
1736135798184881364,9
1736135798234744603,9
1736135798284835599,9
1736135798334810262,9
1736135798384871381,9
1736135798434860721,9
1736135798484884969,9
1736135798534939425,9
1736135798584815910,9
1736135798634794541,9
1736135798684866751,9
1736135798734865109,9
1736135798785004056,9
1736135798834858338,9
1736135798884957429,9
1736135798934896244,9
1736135798984944167,9
1736135799034909207,9
1736135799084921827,9
1736135799134858651,9
1736135799186176583,8
1736135799236118257,8
1736135799236124990,0
1736135799284763095,0
1736135799334756840,0
1736135799384774961,0
1736135799434747372,0
1736135799484721429,0
1736135799534760831,0
1736135799584701021,0
1736135799634709413,0
1736135799684725210,0
1736135799734635703,0
1736135799784736162,0
1736135799834662558,0
1736135799884714502,0
1736135799934709488,0
1736135799984777234,0
1736135800034712432,0
1736135800084708796,0
1736135800134729085,0
1736135800184696914,0
1736135800234734626,0
1736135800284677446,0
1736135800334731660,0
1736135800384754304,0
1736135800434724386,0
1736135800484709749,0
1736135800534655214,0
1736135800584679430,0
1736135800634698117,0
1736135800684711733,0
1736135800734701725,0
1736135800785030484,0
1736135800834595692,0
1736135800884653532,0
1736135800934663050,0
1736135800985223635,0
1736135801034684578,0
1736135801084773313,0
1736135801134688957,0
1736135801184730421,0
1736135801234883598,0
1736135801284792849,0
1736135801334727439,0
1736135801384729045,0
1736135801434716516,0
1736135801484678077,0
1736135801534657222,0
1736135801584603573,0
1736135801634719981,0
1736135801684766184,0
1736135801734714830,0
1736135801784656973,0
1736135801834703728,0
1736135801884767224,0
1736135801934728464,0
1736135801984781059,0
1736135802034743339,0
1736135802084759168,0
1736135802134599401,0
1736135802184795926,0
1736135802234756460,0
1736135802284756578,0
1736135802334717764,0
1736135802384751627,0
1736135802434633400,0
1736135802484730824,0
1736135802534680638,0
1736135802584811777,0
1736135802634734990,0
1736135802684710552,0
1736135802734747141,0
1736135802784717133,0
1736135802834807233,0
1736135802884754081,0
1736135802934715144,0
1736135802984804966,0
1736135803034674721,0
1736135803084818479,0
1736135803134719142,0
1736135803184733033,0
1736135803234702797,0
1736135803284764438,0
1736135803334794691,0
1736135803384732404,0
