%time,desired_box
1735646589574763189,16
1735646589774755790,16
1735646589974722182,16
1735646590174682173,16
1735646590374685536,16
1735646590574686975,16
1735646590774657576,16
1735646590974753733,16
1735646591174778729,16
1735646591374676053,16
1735646591574585730,16
1735646591774670318,16
1735646591974656711,16
1735646592174727745,16
1735646592374673241,16
1735646592574737603,16
1735646592774711131,16
1735646592974704629,16
1735646593174701875,16
1735646593374488433,16
1735646593574721886,16
1735646593774725685,16
1735646593974861181,16
1735646594174714437,16
1735646594374749887,16
1735646594574784936,16
1735646594774598607,16
1735646594974653042,16
1735646595174750622,16
1735646595374752529,16
1735646595574745911,16
1735646595774662368,16
1735646595974664285,16
1735646596174663521,16
1735646596374768063,16
1735646596574675455,16
1735646596774662497,16
1735646596974845148,16
1735646597174798797,16
1735646597374796732,16
1735646597574823519,16
1735646597774855799,16
1735646605761045166,0
1735646605961180852,0
1735646606161153142,0
1735646606361153594,0
1735646606561129601,0
1735646606761115586,0
1735646606961011331,0
1735646607161210089,0
1735646607361247403,0
1735646607561175822,0
1735646607761192476,0
1735646607961147465,0
1735646608161162017,0
1735646608361206105,0
1735646608561240626,0
1735646608761139740,0
1735646608961190561,0
1735646609161162045,0
1735646609361125562,0
1735646609561128385,0
1735646609761102212,0
1735646609961170638,0
1735646610161201554,0
1735646610361147059,0
1735646610561152848,0
1735646610763163964,0
1735646610961151241,0
1735646611161146101,0
1735646611361154957,0
1735646611561145128,0
1735646611761157121,0
1735646611961172650,0
1735646612161099673,0
1735646612361011787,0
1735646612561153757,0
1735646612761127579,0
1735646612961152217,0
1735646613161129656,0
1735646613361106956,0
1735646613561098273,0
1735646613761113184,0
1735646613961092597,0
1735646614161169066,0
1735646614361123033,0
1735646614561163003,0
1735646614761059803,0
1735646614961136040,0
1735646615161119726,0
1735646615361128948,0
1735646615561051628,0
1735646615761174797,0
1735646615961135478,0
1735646616161068720,0
1735646616361119963,0
1735646616561149566,0
1735646616761082919,0
1735646616961138771,0
1735646617161146033,0
1735646617361002481,0
1735646617561114451,0
1735646617760973024,0
1735646617961161709,0
1735646618161025642,0
1735646618361129228,0
1735646618561128727,0
1735646618761119289,0
1735646618961161670,0
1735646619161136735,0
1735646619361139953,0
1735646619561058070,0
1735646619761141109,0
1735646619961134919,0
1735646620161108903,0
1735646620361079390,0
1735646620561148024,0
1735646620761130815,0
1735646620961091735,0
1735646621161150790,0
1735646621361005662,0
1735646621561122959,0
1735646621761062879,0
1735646621961153676,0
1735646622161130989,0
1735646622361091882,0
1735646622561113359,0
1735646622761175423,0
1735646622961009497,0
1735646623161145360,0
1735646623361083260,0
1735646623561125189,0
1735646623761111690,0
1735646623961171151,0
1735646624161136424,0
1735646624361133489,0
1735646624561119481,0
1735646624761161110,0
1735646624961147153,0
1735646625161081320,0
1735646625361051865,0
1735646625561099105,0
1735646625761070522,0
1735646625961137309,0
1735646626161062430,0
1735646626361150870,0
1735646626561144450,0
1735646626761157337,0
1735646626961169673,0
1735646627161131564,0
1735646627361136377,0
1735646627561182208,0
1735646627761079518,0
1735646627961135929,0
1735646628161080098,0
1735646628360958725,0
1735646628561154831,0
1735646628761145779,0
1735646628961157186,0
1735646629161169706,0
1735646629360955339,0
1735646629561088077,0
1735646629761153336,0
1735646629961176087,0
1735646630161153733,0
1735646630361122502,0
1735646630560993127,0
1735646630761171361,0
1735646630961011638,0
1735646631161100846,0
1735646631361087402,0
1735646631561137325,0
1735646631761082833,0
1735646631961026175,0
1735646632161142536,0
1735646632361096421,0
1735646632561152528,0
1735646632761150477,0
1735646632961143825,0
1735646633161158565,0
1735646633361157316,0
1735646633561125429,0
1735646633761083413,0
1735646633961112551,0
1735646634160969234,0
1735646634361157343,0
1735646634561154843,0
1735646634761127185,0
1735646634960989621,0
1735646635161154087,0
1735646635361142370,0
1735646635561153106,0
1735646635761119850,0
1735646635961148560,0
1735646636161060891,0
1735646636361113167,0
1735646636561089230,0
1735646636760963219,0
1735646636961141741,0
1735646637161121529,0
1735646637361168788,0
1735646637561139892,0
1735646637761027519,0
1735646637961116807,0
1735646638161134791,0
1735646638361163015,0
1735646638561090728,0
1735646638761002892,0
1735646638961181761,0
1735646639160925368,0
1735646639361101823,0
1735646639561175474,0
1735646639761162572,0
1735646639961156031,0
1735646640161163889,0
1735646640361142321,0
1735646640561138598,0
1735646640761150995,0
1735646640961166867,0
1735646641161164006,0
1735646641361093257,0
1735646641561119372,0
1735646641761165123,0
1735646641961170477,0
1735646642161097155,0
1735646642361157125,0
1735646642561153444,0
1735646642761182545,0
1735646642961012439,0
1735646643161005344,0
1735646643361273368,0
1735646643561259159,0
1735646643761142516,0
1735646643961593596,0
1735646644161204680,0
1735646644361195341,0
1735646644561165324,0
1735646644761094309,0
1735646644960924988,0
1735646645161112923,0
1735646645361172587,0
1735646645561140477,0
1735646645761059805,0
1735646645961088509,0
1735646646161132534,0
1735646646361109543,0
1735646646561148108,0
1735646646761128903,0
1735646646961018347,0
1735646647161129519,0
1735646647361084047,0
1735646647561134937,0
1735646647761153836,0
1735646647961121058,0
1735646648161121072,0
1735646648361118852,0
1735646648561106244,0
1735646648761106519,0
1735646648961058374,0
1735646649161096241,0
1735646649361093012,0
1735646649561160545,0
1735646649761105206,0
1735646649961140801,0
1735646650160999941,0
1735646650361154451,0
1735646650561106418,0
1735646650761068143,0
1735646650961095003,0
1735646651161132492,0
1735646651361119467,0
1735646651561122091,0
1735646651760974672,0
1735646651961099427,0
1735646652161105639,0
1735646652361099438,0
1735646652561033623,0
