%time,control_mode,desired_box,eef_distance,intersection_length,field.boxes0.id,field.boxes1.id,field.boxes2.id,field.boxes3.id,field.boxes4.id,field.boxes5.id,field.boxes6.id,field.boxes7.id,field.boxes8.id,baysian0,baysian1,baysian2,baysian3,baysian4,baysian5,baysian6,baysian7,baysian8
3.199957867,0,121,0.3316021263599396,33.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,8.221537753393638e-06,1.0020020952761588e-06,0.0013094503341429357,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
3.900042973,0,121,0.3316469490528106,34.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,,,,,,,,,
4.000052634,0,121,0.3290733098983764,35.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,4.8729189123530225e-06,1.0020020952761588e-06,0.0011102797684768228,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
4.100057849,0,121,0.3248201012611389,36.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,4.105583991904706e-06,1.0020020952761588e-06,0.0011283099202550697,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
4.200078311,0,121,0.3205929696559906,37.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,3.665959630086403e-06,1.0020020952761588e-06,0.001111764546342555,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
4.300016339,0,121,0.3149765431880951,38.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,3.6777994737025425e-06,1.0020020952761588e-06,0.0011546457184603294,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
4.400040314,0,121,0.3085575401782989,39.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,6.411392631888182e-06,1.0020020952761588e-06,0.0017055013364225629,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
4.500032963,0,121,0.3012253642082214,40.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,1.4882619994197365e-05,1.0020020952761588e-06,0.0030270271072774797,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
4.600054845,0,121,0.29395791888237,41.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,3.173239909838218e-05,1.0020020952761588e-06,0.0051608138637491575,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
4.70001887,0,121,0.2882209420204162,42.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,5.6551505137681495e-05,1.0020020952761588e-06,0.008151310447268119,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06,1.0020020952761588e-06
4.80004989,0,121,0.2812882661819458,43.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,8.460886930687633e-05,1.0020020952761588e-06,0.011765956218609866,1.0020020952761588e-06,1.0020020952761588e-06,1.5274154521179706e-06,1.0020020952761588e-06
4.900017241,0,121,0.2734560668468475,44.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,0.00014407118231089716,1.0020020952761588e-06,0.017918146367876808,1.0020020952761588e-06,1.0020020952761588e-06,3.320175170463605e-06,1.0020020952761588e-06
5.000046607,0,121,0.2672091722488403,45.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,0.00032550798749307684,1.0020020952761588e-06,0.030187966396430725,1.0020020952761588e-06,1.0020020952761588e-06,6.183659352547036e-06,1.0020020952761588e-06
5.100045187,0,121,0.2596812844276428,46.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,0.0007581715276096387,1.0020020952761588e-06,0.049752467343776766,1.0020020952761588e-06,1.0020020952761588e-06,9.330210198911852e-06,1.2599911988511832e-06
5.200073752,0,121,0.2532792389392853,47.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,0.0014576647402315987,1.0020020952761588e-06,0.07472356844845386,1.0020020952761588e-06,1.0020020952761588e-06,1.251244467325174e-05,2.2904632467970993e-06
