%time,intersection_length
1735646020003497717,6
1735646020103679110,7
1735646020202809996,8
1735646020303919047,9
1735646020403871478,10
1735646020503365242,11
1735646020603095251,12
1735646020703085243,13
1735646020803618184,14
1735646020902517270,15
1735646021002669461,16
1735646021103544598,17
1735646021203895714,18
1735646021303541535,19
1735646021403435316,20
1735646021504939373,21
1735646021602613914,22
1735646021702425017,23
1735646021803150491,24
1735646021902063986,25
1735646022003381390,26
1735646022102711634,27
1735646022203243564,28
1735646022304465667,29
1735646022402030009,30
1735646022503146473,31
1735646022604531056,32
1735646022701580592,33
1735646022803848807,34
1735646022903240747,35
1735646023003146721,36
1735646023101916544,37
1735646023203539036,38
1735646023302970432,39
1735646023403193675,40
1735646023501627112,41
1735646023603726607,42
1735646023702120008,43
1735646023802477146,44
1735646023903118751,45
1735646024003462614,46
1735646024103830712,47
1735646024202728658,48
1735646024302884104,49
1735646024403997913,50
1735646024503563573,51
1735646024602804158,52
1735646024702995180,53
1735646024803351046,54
1735646024904545398,55
1735646025002097957,56
1735646025103111988,57
1735646025203406688,58
1735646025304014629,59
1735646025403722960,60
1735646025503387837,61
1735646025603283581,62
1735646025703378382,63
1735646025802310483,64
1735646025903331448,64
1735646026004534946,64
1735646026102783173,64
1735646026203815790,64
1735646026302930206,64
1735646026404470141,64
1735646026504889417,64
1735646026605400166,64
1735646026703693047,64
1735646026805222393,64
1735646026902740146,64
1735646027003642195,64
1735646027104233487,64
1735646027204569926,64
1735646027303638425,64
1735646027404390579,64
1735646027504534093,64
1735646027603944650,64
1735646027704123791,64
1735646027804725342,64
1735646027904322421,64
1735646028005020403,64
1735646028104225531,64
1735646028204352092,64
1735646028304138100,64
1735646028405076518,64
1735646028504019660,64
1735646028603480281,64
1735646028704814298,64
1735646028803561678,64
1735646028903447634,65
1735646029004864038,66
1735646029104119230,66
1735646029204603749,66
1735646029303677448,66
1735646029403969403,66
1735646029504116474,66
1735646029605341054,66
1735646029704501056,66
1735646029804118194,66
1735646029904682324,66
1735646030004285324,66
1735646030105269389,66
1735646030203943993,66
1735646030303813578,66
1735646030404189412,66
1735646030503783245,66
1735646030605306932,66
1735646030703972638,66
1735646030805154147,66
1735646030904452541,66
1735646031004268475,66
1735646031106010865,0
1735646031202450488,0
1735646031304606361,0
1735646031402869426,0
1735646031504686187,0
1735646031602851957,0
1735646031702790212,0
1735646031804983476,0
1735646031904853332,0
1735646032005463349,0
1735646032106520683,0
1735646032205592439,0
1735646032305110850,0
1735646032404284639,0
1735646032504516530,0
1735646032604319248,0
1735646032705205739,0
1735646032806071149,0
1735646032904576632,0
1735646033003780560,0
1735646033104303832,0
1735646033204794433,0
1735646033304665211,0
1735646033402994801,0
1735646033503599508,0
1735646033604578174,0
1735646033704127263,0
1735646033802743676,0
1735646033903545857,0
1735646034005339344,0
1735646034104200142,0
1735646034204278913,0
1735646034305268258,0
1735646034404465371,0
1735646034504128206,0
1735646034604925398,0
1735646034705834731,0
1735646034804658447,0
1735646034904363973,0
1735646035004190447,0
1735646035104239803,0
1735646035204302313,0
1735646035305262946,0
1735646035404644207,0
1735646035505268731,0
1735646035604932588,0
1735646035703908673,0
1735646035805172117,0
1735646035905689628,0
1735646036005349408,0
1735646036104522586,0
1735646036203510743,0
1735646036305238166,0
1735646036402947843,0
1735646036503998645,0
1735646036603266543,0
1735646036704175185,0
1735646036803953680,0
1735646036904268478,0
1735646037005130071,0
1735646037104595333,0
1735646037204113242,0
1735646037303998578,0
1735646037403838769,1
1735646037503795069,2
1735646037604318283,3
1735646037704523193,4
1735646037803216153,5
1735646037902791762,6
1735646038003963632,7
1735646038103972303,8
1735646038204300927,9
1735646038304094360,10
1735646038403291012,11
1735646038504536723,12
1735646038605080525,13
1735646038703270042,14
1735646038805117722,15
1735646038904029736,16
1735646039003871990,17
1735646039104198231,18
1735646039204258558,19
1735646039303234854,20
1735646039404930756,21
1735646039504255582,22
1735646039603889321,23
1735646039702588193,24
1735646039804027429,25
1735646039904504216,25
1735646040004401744,25
1735646040104445961,25
1735646040205084873,25
1735646040305561109,25
1735646040404413420,25
1735646040504426247,25
1735646040603058241,26
1735646040703884968,27
1735646040804345614,28
1735646040903964316,29
1735646041003637841,30
1735646041103862460,31
1735646041204063763,32
1735646041302754579,33
1735646041404453268,34
1735646041503521136,35
1735646041604720691,36
1735646041705739103,37
1735646041805418067,38
1735646041902623131,39
1735646042004294488,40
1735646042104336730,41
1735646042203278081,42
1735646042302275306,43
1735646042403616447,44
1735646042504620662,45
1735646042603705504,46
1735646042703536667,47
1735646042802719804,48
1735646042902029622,49
1735646043003834652,50
1735646043105990415,51
1735646043204255014,52
1735646043302744850,53
1735646043402448733,54
1735646043505249958,55
1735646043602517820,56
1735646043704319014,57
1735646043803204959,58
1735646043903665633,59
1735646044004316870,60
1735646044105729358,61
1735646044203516002,62
1735646044303698862,63
1735646044404543002,64
1735646044502499708,65
1735646044605939293,65
1735646044705112692,65
1735646044805617762,65
1735646044905105515,65
1735646045006170154,65
1735646045104895856,65
1735646045206126940,65
1735646045305413153,65
1735646045404748519,65
1735646045504645919,65
1735646045604743276,65
1735646045705615982,65
1735646045804728656,65
1735646045906185548,65
1735646046004365336,65
1735646046105973604,65
1735646046206384677,65
1735646046306060307,65
1735646046404956300,65
1735646046506535773,65
1735646046605208013,65
1735646046704494507,65
1735646046805980574,65
1735646046903023591,65
1735646047005783669,65
1735646047106080665,65
1735646047204679347,65
1735646047305294094,65
1735646047405135258,65
1735646047505383562,65
1735646047606114389,65
1735646047703488533,65
1735646047804512074,65
1735646047902706590,65
1735646048003822647,65
1735646048103570163,65
1735646048206334249,65
1735646048305179227,65
1735646048404404815,65
1735646048504249445,65
1735646048604673832,65
1735646048703521114,65
1735646048804712724,66
1735646048904196501,67
1735646049003344893,68
1735646049104858882,68
1735646049204831145,68
1735646049305292713,68
1735646049403154800,68
1735646049505056885,68
1735646049602933760,68
1735646049704705979,68
1735646049804243036,68
1735646049904255153,68
1735646050003587844,68
1735646050103469134,68
1735646050204646167,68
1735646050304440341,68
1735646050404672405,68
1735646050504117719,68
1735646050602896661,68
1735646050704134869,68
1735646050804724650,68
1735646050904201235,68
1735646051004719940,68
1735646051105177440,0
1735646051202406529,0
1735646051303818817,0
1735646051402944748,0
1735646051504285620,0
1735646051602873721,0
1735646051704160902,0
1735646051802728194,0
1735646051903289512,0
1735646052004534423,0
1735646052103114950,0
1735646052202690891,0
1735646052304278903,0
1735646052404193645,0
1735646052505425201,0
1735646052603525499,0
1735646052703969946,0
1735646052803986010,0
1735646052904766331,0
1735646053004129191,0
1735646053104250645,0
1735646053204216173,0
1735646053304419973,0
1735646053404667257,0
1735646053504480908,0
1735646053604160155,0
1735646053702650694,0
1735646053804401752,0
1735646053904539497,0
1735646054002594611,0
1735646054102205889,0
1735646054203426775,0
1735646054303366526,0
1735646054403929265,0
1735646054504565325,0
1735646054603524439,0
1735646054703849558,0
1735646054803943943,0
1735646054904641627,1
1735646055004901253,1
1735646055104143464,1
1735646055203245228,1
1735646055303645221,1
1735646055403646898,1
1735646055504459452,1
1735646055603097908,1
1735646055703024023,1
1735646055803816027,1
1735646055904100570,1
1735646056003862876,1
1735646056104916885,1
1735646056204382038,1
1735646056304238911,2
1735646056402894392,3
1735646056503459997,4
1735646056603580561,5
1735646056703302268,6
1735646056803159343,7
1735646056903477870,8
1735646057003715946,9
1735646057103906751,10
1735646057203670009,11
1735646057303685603,12
1735646057403659319,13
1735646057503772306,14
1735646057603662975,15
1735646057703871173,16
1735646057803566322,17
1735646057903479722,18
1735646058003451514,19
1735646058102965260,20
1735646058203107964,21
1735646058303278292,22
1735646058403911675,23
1735646058503380746,24
1735646058603993672,25
1735646058703793236,26
1735646058803986127,27
1735646058903523986,28
1735646059003217512,29
1735646059101893782,30
1735646059204982813,31
1735646059303733865,32
1735646059405131937,33
1735646059503961485,34
1735646059605721483,34
1735646059702352301,34
1735646059802812546,34
1735646059902302977,34
1735646060002684084,34
1735646060104150514,34
1735646060202012603,35
1735646060303599503,36
1735646060402586239,37
1735646060503439610,38
1735646060603132063,39
1735646060703207190,40
1735646060803271527,41
1735646060903541614,42
1735646061003448203,43
1735646061104708192,44
1735646061203886112,45
1735646061303754759,46
1735646061403324270,47
1735646061503683884,48
1735646061604857642,49
1735646061704795400,50
1735646061804418913,51
1735646061902670468,52
1735646062003559336,53
1735646062103450545,54
1735646062202819747,55
1735646062301828988,56
1735646062402552291,57
1735646062504404803,58
1735646062604225028,59
1735646062703446210,60
1735646062804286647,61
1735646062904172426,62
1735646063002146215,63
1735646063103030985,64
1735646063203474711,65
1735646063302462140,66
1735646063403712833,67
1735646063503614142,68
1735646063604014175,69
1735646063702827062,69
1735646063804047237,70
1735646063903935151,71
1735646064002533794,71
1735646064105203754,71
1735646064205394160,71
1735646064302874586,71
1735646064404200873,71
1735646064503913715,71
1735646064603651023,71
1735646064703911542,71
1735646064803427051,71
1735646064905147471,71
1735646065002993780,71
1735646065105561096,71
1735646065205496700,71
1735646065304725235,71
1735646065405704444,71
1735646065503763236,71
1735646065604842464,71
1735646065704458794,71
1735646065803867951,71
1735646065904739226,71
1735646066004693966,71
1735646066104372954,71
1735646066204330249,71
1735646066303672560,71
1735646066404869341,71
1735646066504312954,71
1735646066605364340,71
1735646066705286899,71
1735646066804429682,71
