%time,field.header.seq,field.header.stamp,field.header.frame_id,field.axes0,field.axes1,field.buttons0,field.buttons1,field.buttons2,field.buttons3
1735646434912642330,18899,0,,0.0,0.0,0,0,1,0
1735646435026844444,18900,0,,0.0,0.0,0,0,1,0
1735646435132319713,18901,0,,0.0,0.0,0,0,1,0
1735646435248181077,18902,0,,0.0,0.0,0,0,1,0
1735646435356684330,18903,0,,0.0,0.0,0,0,1,0
1735646435462431201,18904,0,,0.0,0.0,0,0,1,0
1735646435580869319,18905,0,,0.0,0.0,0,0,1,0
1735646435686660182,18906,0,,0.0,0.0,0,0,1,0
1735646435798094204,18907,0,,0.0,0.0,0,0,1,1
1735646435910198100,18908,0,,0.0,0.0,0,0,1,1
1735646436024249460,18909,0,,0.0,0.0,0,0,1,1
1735646436133230254,18910,0,,0.0,0.0,0,0,1,1
1735646436252268806,18911,0,,0.0,0.0,0,0,1,1
1735646436352302217,18912,0,,0.0,0.0,0,0,1,1
1735646436477882213,18913,0,,0.0,0.0,0,0,1,1
1735646436573558462,18914,0,,0.0,0.0,0,0,1,1
1735646436684085595,18915,0,,0.0,0.0,0,0,1,1
1735646436788110287,18916,0,,0.0,0.0,0,0,1,1
1735646436895158795,18917,0,,0.0,0.0,0,0,1,1
1735646437007036675,18918,0,,0.0,0.0,0,0,1,1
1735646437117734601,18919,0,,0.0,0.0,0,0,1,1
1735646437225075522,18920,0,,0.0,0.0,0,0,1,1
1735646437348860150,18921,0,,0.0,0.0,0,0,1,1
1735646437451486284,18922,0,,0.0,0.0,0,0,1,1
1735646437568306733,18923,0,,0.0,0.0,0,0,1,1
1735646437674717148,18924,0,,0.0,0.0,0,0,1,1
1735646437784738507,18925,0,,0.0,0.0,0,0,1,1
1735646437895021970,18926,0,,0.0,0.0,0,0,1,1
1735646438007810439,18927,0,,0.0,0.0,0,0,1,1
1735646438121596784,18928,0,,0.0,0.0,0,0,1,0
1735646438227524689,18929,0,,0.0,0.0,0,0,1,0
1735646438327916510,18930,0,,0.0,0.0,1,0,1,0
1735646438432010735,18931,0,,0.0,0.0,0,0,1,0
1735646438551300504,18932,0,,0.0,0.0,0,0,0,0
